"item","avg_rating","rank","rating_sd","number_ratings","character"
"captain (not first-mate)",87.8,148,20.7,1081,"Han Solo"
"charming (not awkward)",87.7,68,16.4,1063,"Han Solo"
"gendered (not androgynous)",87.7,141,20.9,331,"Han Solo"
"impulsive (not cautious)",87.5,107,16.9,1111,"Han Solo"
"self-assured (not self-conscious)",87.4,39,20.1,865,"Han Solo"
"resourceful (not helpless)",87.3,267,19.1,212,"Han Solo"
"worldly (not innocent)",87.2,102,15.6,1109,"Han Solo"
"scandalous (not proper)",87.1,92,14.3,922,"Han Solo"
"jock (not nerd)",87,57,16.6,1037,"Han Solo"
"charming (not trusting)",87,19,15.4,1010,"Han Solo"
"loud (not quiet)",86.9,160,14.8,1058,"Han Solo"
"brave (not careful)",86.6,57,16.3,1031,"Han Solo"
"stubborn (not accommodating)",86.6,229,14.8,157,"Han Solo"
"chaotic (not orderly)",86.6,123,13.6,1042,"Han Solo"
"rock (not rap)",86.4,80,17.2,84,"Han Solo"
"😜 (not 🤐)",86.3,112,16.9,280,"Han Solo"
"instinctual (not reasoned)",86.2,58,16.6,1016,"Han Solo"
"impatient (not patient)",86.2,143,14.1,376,"Han Solo"
"attractive (not repulsive)",86,290,17.3,1149,"Han Solo"
"extrovert (not introvert)",86,140,19.6,1025,"Han Solo"
"alpha (not beta)",85.7,256,19.5,858,"Han Solo"
"scruffy (not manicured)",85.5,90,18.6,1165,"Han Solo"
"assertive (not passive)",85.4,223,18,849,"Han Solo"
"💃 (not 🧕)",85.4,179,17.3,416,"Han Solo"
"spontaneous (not deliberate)",85.1,61,18.3,1030,"Han Solo"
"spicy (not mild)",85.1,151,15.9,1107,"Han Solo"
"edgy (not politically correct)",85.1,91,16.7,1058,"Han Solo"
"real (not philosophical)",85,23,17.3,753,"Han Solo"
"emancipated (not enslaved)",84.9,63,18.1,1000,"Han Solo"
"fast (not slow)",84.9,137,16.1,985,"Han Solo"
"feisty (not gracious)",84.6,158,18.5,914,"Han Solo"
"important (not irrelevant)",84.5,407,18.2,490,"Han Solo"
"jaded (not innocent)",84.5,192,16.9,98,"Han Solo"
"opinionated (not neutral)",84.4,419,21.3,157,"Han Solo"
"narcissistic (not low self esteem)",84.4,181,19.7,148,"Han Solo"
"sarcastic (not genuine)",84.3,93,16.9,1058,"Han Solo"
"healthy (not sickly)",84.2,179,18.8,1026,"Han Solo"
"blue-collar (not ivory-tower)",84.1,81,21.5,921,"Han Solo"
"👩‍🎤 (not 👩‍🔬)",83.8,123,19.8,308,"Han Solo"
"drop out (not valedictorian)",83.6,73,21.3,279,"Han Solo"
"epic (not deep)",83.3,17,17.9,98,"Han Solo"
"goof-off (not studious)",83,127,19,327,"Han Solo"
"atheist (not theist)",82.9,79,21.2,221,"Han Solo"
"bossy (not meek)",82.9,398,16.7,1059,"Han Solo"
"dominant (not submissive)",82.8,428,20.9,1066,"Han Solo"
"lustful (not chaste)",82.8,135,17.2,1009,"Han Solo"
"flamboyant (not modest)",82.7,159,19,1043,"Han Solo"
"beautiful (not ugly)",82.6,650,19.3,268,"Han Solo"
"unorthodox (not traditional)",82.6,200,22.5,209,"Han Solo"
"dog person (not cat person)",82.5,101,24.8,96,"Han Solo"
"frank (not sugarcoated)",82.3,286,21.6,93,"Han Solo"
"playful (not serious)",82.1,151,15.8,1056,"Han Solo"
"night owl (not morning lark)",82,211,18.3,722,"Han Solo"
"pro (not noob)",82,451,19.5,311,"Han Solo"
"prideful (not envious)",82,101,21.2,137,"Han Solo"
"straight (not queer)",81.9,349,24.6,384,"Han Solo"
"tardy (not on-time)",81.8,85,20.1,116,"Han Solo"
"messy (not neat)",81.7,128,15.2,761,"Han Solo"
"competitive (not cooperative)",81.6,389,18.4,1026,"Han Solo"
"interesting (not tiresome)",81.6,233,19.9,1067,"Han Solo"
"independent (not codependent)",81.5,278,25.3,1163,"Han Solo"
"individualist (not communal)",81.4,204,21.5,221,"Han Solo"
"decisive (not hesitant)",81.3,334,20.2,1064,"Han Solo"
"resistant (not resigned)",81.1,130,21.1,1098,"Han Solo"
"vibrant (not geriatric)",81,263,17.5,139,"Han Solo"
"cynical (not gullible)",81,264,19.6,91,"Han Solo"
"vain (not demure)",80.8,171,18.8,1016,"Han Solo"
"western (not eastern)",80.6,62,23.6,416,"Han Solo"
"punk rock (not preppy)",80.5,194,22.1,111,"Han Solo"
"👨‍🚀 (not 🧙)",80.3,56,22.2,430,"Han Solo"
"🏀 (not 🎨)",80.2,190,23.2,119,"Han Solo"
"indulgent (not sober)",80.1,204,19.1,996,"Han Solo"
"physical (not intellectual)",79.7,124,18.4,976,"Han Solo"
"ferocious (not pacifist)",79.7,344,18.3,968,"Han Solo"
"open to new experinces (not uncreative)",79.7,421,23.3,1020,"Han Solo"
"hunter (not gatherer)",79.6,293,25.6,133,"Han Solo"
"astonishing (not methodical)",79.5,46,21,1034,"Han Solo"
"loose (not tight)",79.4,85,24,113,"Han Solo"
"exuberant (not subdued)",79.3,213,21.3,127,"Han Solo"
"deviant (not average)",79.3,255,17.6,659,"Han Solo"
"interrupting (not attentive)",79.1,183,24.1,135,"Han Solo"
"extraordinary (not mundane)",79.1,387,20.7,1076,"Han Solo"
"spelunker (not claustrophobic)",79,76,22.4,124,"Han Solo"
"fire (not water)",79,361,23.7,114,"Han Solo"
"efficient (not overprepared)",78.8,91,21,133,"Han Solo"
"lenient (not strict)",78.6,163,20.8,1042,"Han Solo"
"😀 (not 😭)",78.6,130,22.7,322,"Han Solo"
"demanding (not unchallenging)",78.5,589,23.8,130,"Han Solo"
"focused on the present (not focused on the future)",78.3,53,25,1027,"Han Solo"
"ADHD (not OCD)",78.3,147,22.5,94,"Han Solo"
"heroic (not villainous)",78.2,642,17.2,1036,"Han Solo"
"exaggerating (not factual)",78.1,267,23.7,122,"Han Solo"
"never cries (not often crying)",78,302,23.2,71,"Han Solo"
"unpolished (not eloquent)",77.9,126,23.7,890,"Han Solo"
"creative (not conventional)",77.6,277,23.4,1030,"Han Solo"
"proletariat (not bourgeoisie)",77.6,142,26.5,738,"Han Solo"
"exhibitionist (not bashful)",77.6,214,26.9,108,"Han Solo"
"outsider (not insider)",77.6,122,25.3,760,"Han Solo"
"🌟 (not 💩)",77.6,660,25.4,260,"Han Solo"
"intimate (not formal)",77.5,127,18.9,396,"Han Solo"
"🤺 (not 🏌)",77.3,463,26,281,"Han Solo"
"chatty (not reserved)",77.1,378,24.7,998,"Han Solo"
"heathen (not devout)",77.1,111,21.9,960,"Han Solo"
"rude (not respectful)",77,207,17.1,1058,"Han Solo"
"cool (not dorky)",77,294,26.6,269,"Han Solo"
"expressive (not monotone)",76.9,411,22.2,91,"Han Solo"
"anarchist (not statist)",76.8,194,25.2,358,"Han Solo"
"extreme (not moderate)",76.6,504,19.7,908,"Han Solo"
"active (not slothful)",76.5,811,23.1,922,"Han Solo"
"rustic (not cultured)",76.5,107,20.9,80,"Han Solo"
"suspicious (not trusting)",76.4,364,22.2,1004,"Han Solo"
"🥾 (not 👟)",76,235,27.3,297,"Han Solo"
"armoured (not vulnerable)",75.8,388,21.8,880,"Han Solo"
"persistent (not quitter)",75.7,1279,25.5,279,"Han Solo"
"quarrelsome (not warm)",75.6,389,21.2,1035,"Han Solo"
"conspiracist (not sheeple)",75.5,328,21,690,"Han Solo"
"ironic (not profound)",75.5,78,24,147,"Han Solo"
"🐒 (not 🐩)",75.4,143,23.4,274,"Han Solo"
"bad boy (not white knight)",75.4,252,23.8,91,"Han Solo"
"🧢 (not 🎩)",75.3,293,28.7,257,"Han Solo"
"straightforward (not cryptic)",75.2,306,27.8,988,"Han Solo"
"disorganized (not self-disciplined)",74.8,175,24.1,918,"Han Solo"
"whippersnapper (not sage)",74.8,103,24.3,109,"Han Solo"
"comedic (not dramatic)",74.8,105,24.5,122,"Han Solo"
"kinky (not vanilla)",74.6,304,23,941,"Han Solo"
"relaxed (not tense)",74.4,83,22.7,1028,"Han Solo"
"nonpolitical (not political)",74.1,106,26.3,1000,"Han Solo"
"English (not German)",74.1,714,27.4,124,"Han Solo"
"disreputable (not prestigious)",74,155,25.8,932,"Han Solo"
"treasure (not trash)",74,917,25.7,329,"Han Solo"
"experimental (not reliable)",74,266,25.7,131,"Han Solo"
"neurotypical (not autistic)",73.9,504,23.8,838,"Han Solo"
"believable (not poorly-written)",73.9,778,21.4,124,"Han Solo"
"moody (not stable)",73.8,563,21.9,1036,"Han Solo"
"mighty (not puny)",73.8,619,21.7,993,"Han Solo"
"trolling (not triggered)",73.8,90,24.5,115,"Han Solo"
"disarming (not creepy)",73.7,538,21.3,334,"Han Solo"
"tall (not short)",73.7,411,18.8,1098,"Han Solo"
"🥵 (not 🥶)",73.7,230,29.1,100,"Han Solo"
"hedonist (not monastic)",73.6,165,24.6,211,"Han Solo"
"juvenile (not mature)",73.5,278,19.6,253,"Han Solo"
"fortunate (not unlucky)",73.2,164,25,1067,"Han Solo"
"plays hard (not works hard)",73.2,196,21.5,979,"Han Solo"
"suspicious (not awkward)",73.1,491,22.7,874,"Han Solo"
"master (not apprentice)",73,688,22.2,417,"Han Solo"
"variable (not consistent)",72.9,103,26,136,"Han Solo"
"macho (not metrosexual)",72.7,203,27.3,116,"Han Solo"
"folksy (not presidential)",72.7,271,27.1,121,"Han Solo"
"rhythmic (not stuttering)",72.5,654,27.8,132,"Han Solo"
"flexible (not rigid)",72.4,177,26.7,978,"Han Solo"
"ranged (not melee)",72.3,96,28.8,105,"Han Solo"
"🤣 (not 😊)",72,195,28.6,288,"Han Solo"
"zany (not regular)",71.9,439,20.3,270,"Han Solo"
"protagonist (not antagonist)",71.6,807,27.4,106,"Han Solo"
"expressive (not stoic)",71.4,506,27.5,1087,"Han Solo"
"cunning (not honorable)",71.4,340,24.7,1131,"Han Solo"
"radical (not centrist)",71.4,295,23.8,86,"Han Solo"
"fast-talking (not slow-talking)",71.2,499,26.6,136,"Han Solo"
"lowbrow (not highbrow)",71.2,116,26.7,855,"Han Solo"
"biased (not impartial)",71.2,518,25.8,948,"Han Solo"
"competent (not incompetent)",71,1058,24,874,"Han Solo"
"💪 (not 🧠)",71,216,25.3,355,"Han Solo"
"🧗 (not 🛌)",71,627,29.9,410,"Han Solo"
"stingy (not generous)",71,292,24.8,143,"Han Solo"
"📈 (not 📉)",70.9,382,26.5,288,"Han Solo"
"entitled (not grateful)",70.9,459,23.1,129,"Han Solo"
"libertarian (not socialist)",70.8,141,30.6,878,"Han Solo"
"good-humored (not angry)",70.8,524,24,908,"Han Solo"
"driven (not unambitious)",70.8,1284,26.7,917,"Han Solo"
"poor (not rich)",70.6,308,20.4,938,"Han Solo"
"romantic (not dispassionate)",70.4,707,25.3,131,"Han Solo"
"debased (not pure)",70.4,394,22.7,977,"Han Solo"
"modern (not historical)",70.3,445,26,687,"Han Solo"
"twitchy (not still)",70.2,511,27.7,130,"Han Solo"
"muddy (not washed)",70.2,219,20.4,90,"Han Solo"
"egalitarian (not racist)",69.9,1220,24.8,266,"Han Solo"
"ludicrous (not sensible)",69.9,296,23.6,1016,"Han Solo"
"gamer (not non-gamer)",69.9,242,31.2,102,"Han Solo"
"summer (not winter)",69.9,481,27.8,87,"Han Solo"
"lewd (not tasteful)",69.8,204,23.8,1028,"Han Solo"
"insulting (not complimentary)",69.7,378,24.2,246,"Han Solo"
"👻 (not 🤖)",69.7,316,28.4,254,"Han Solo"
"receiving (not giving)",69.6,346,27.7,87,"Han Solo"
"cheery (not sorrowful)",69.5,324,23.4,1072,"Han Solo"
"jealous (not compersive)",69.5,386,23.1,974,"Han Solo"
"inspiring (not cringeworthy)",69.4,546,24.2,256,"Han Solo"
"pretentious (not unassuming)",69.2,500,27.5,278,"Han Solo"
"contrarian (not yes-man)",69.2,523,28.4,78,"Han Solo"
"social (not reclusive)",69.2,510,29.7,471,"Han Solo"
"child free (not pronatalist)",69.1,548,27.2,857,"Han Solo"
"soulful (not soulless)",69.1,1008,22.9,212,"Han Solo"
"loyal (not traitorous)",68.8,1195,25.1,1018,"Han Solo"
"leisurely (not hurried)",68.8,223,27.9,1185,"Han Solo"
"transient (not permanent)",68.7,149,29.6,389,"Han Solo"
"perverted (not clean)",68.7,294,25.6,139,"Han Solo"
"direct (not roundabout)",68.6,801,30.9,973,"Han Solo"
"🐐 (not 🦒)",68.5,398,29.5,382,"Han Solo"
"Italian (not Swedish)",68.4,374,28.5,110,"Han Solo"
"quirky (not predictable)",68.4,383,26,79,"Han Solo"
"industrial (not domestic)",68.2,310,27.6,215,"Han Solo"
"guarded (not open)",68,974,27.8,996,"Han Solo"
"common sense (not analysis)",67.9,125,28.9,79,"Han Solo"
"go-getter (not slugabed)",67.8,1189,28.1,225,"Han Solo"
"cannibal (not vegan)",67.8,439,23.9,117,"Han Solo"
"celebrity (not boy/girl-next-door)",67.7,395,31.2,89,"Han Solo"
"avant-garde (not classical)",67.3,285,28.3,203,"Han Solo"
"ambitious (not realistic)",67.3,625,32.8,115,"Han Solo"
"selfish (not altruistic)",67.2,489,22.8,1089,"Han Solo"
"thick-skinned (not sensitive)",67.1,479,27.1,953,"Han Solo"
"vague (not precise)",67.1,151,25.4,694,"Han Solo"
"chill (not offended)",66.9,292,26.8,108,"Han Solo"
"oxymoron (not tautology)",66.9,181,22.1,65,"Han Solo"
"hard (not soft)",66.9,620,23.8,268,"Han Solo"
"hard (not soft)",66.8,640,24.1,982,"Han Solo"
"blacksmith (not tailor)",66.8,357,29.5,126,"Han Solo"
"happy (not sad)",66.7,307,22.5,970,"Han Solo"
"aloof (not obsessed)",66.6,57,26.9,964,"Han Solo"
"not genocidal (not genocidal)",66.5,1037,27.1,73,"Han Solo"
"work-first (not family-first)",66.4,577,28.4,1184,"Han Solo"
"crazy (not sane)",66.2,547,24.1,275,"Han Solo"
"frenzied (not sleepy)",66.2,1077,25.6,135,"Han Solo"
"indie (not pop)",66.2,700,31.1,85,"Han Solo"
"hipster (not basic)",66.1,281,26.4,951,"Han Solo"
"barbaric (not civilized)",65.9,297,19.6,981,"Han Solo"
"perceptive (not unobservant)",65.9,1271,29.5,142,"Han Solo"
"chivalrous (not businesslike)",65.8,463,30.7,139,"Han Solo"
"foolish (not wise)",65.6,393,20,1087,"Han Solo"
"realist (not idealist)",65.5,503,32.3,229,"Han Solo"
"natural-talent (not hard-work)",65.5,226,29.6,128,"Han Solo"
"literal (not metaphorical)",65.3,600,30.7,1016,"Han Solo"
"varied (not repetitive)",65.3,176,27.5,383,"Han Solo"
"liberal (not conservative)",65.3,729,29.5,326,"Han Solo"
"self-destructive (not self-improving)",65.2,567,26.7,119,"Han Solo"
"stoic (not hypochondriac)",65.2,597,29.2,84,"Han Solo"
"bright (not depressed)",65,495,25.1,875,"Han Solo"
"slacker (not workaholic)",65,247,25.6,250,"Han Solo"
"kind (not cruel)",64.8,1102,20.5,1046,"Han Solo"
"😈 (not 😇)",64.7,567,24.9,287,"Han Solo"
"stylish (not slovenly)",64.6,849,27.3,942,"Han Solo"
"judgemental (not accepting)",64.4,625,28,695,"Han Solo"
"emotional (not logical)",64,664,28.9,1087,"Han Solo"
"young (not old)",63.8,972,21.8,947,"Han Solo"
"multicolored (not monochrome)",63.8,504,32.1,188,"Han Solo"
"not introspective (not introspective)",63.7,220,29.5,380,"Han Solo"
"calm (not anxious)",63.5,403,27.5,998,"Han Solo"
"nihilist (not existentialist)",63.5,174,30.5,172,"Han Solo"
"sexist (not feminist)",63.5,373,25,372,"Han Solo"
"money-focused (not love-focused)",63.3,412,28.6,82,"Han Solo"
"utilitarian (not decorative)",63.2,805,29.8,224,"Han Solo"
"freak (not normie)",63.2,687,26.3,130,"Han Solo"
"circular (not linear)",63.1,335,28.9,133,"Han Solo"
"human (not animalistic)",62.9,1140,29.2,859,"Han Solo"
"Coke (not Pepsi)",62.9,278,33.8,119,"Han Solo"
"opinionated (not jealous)",62.9,1142,31.9,81,"Han Solo"
"whimsical (not rational)",62.8,497,29.4,1009,"Han Solo"
"🥰 (not 🙃)",62.5,625,33.3,373,"Han Solo"
"factual (not poetic)",62.4,709,30.8,132,"Han Solo"
"🤠 (not 🤑)",62.2,889,34.4,304,"Han Solo"
"bad-cook (not good-cook)",62.1,548,27.9,113,"Han Solo"
"chortling (not giggling)",62,852,31.9,111,"Han Solo"
"machiavellian (not transparent)",62,589,32,88,"Han Solo"
"high IQ (not low IQ)",61.8,1428,22.5,832,"Han Solo"
"joyful (not miserable)",61.8,472,25.9,290,"Han Solo"
"random (not pointed)",61.8,290,31.5,118,"Han Solo"
"🐴 (not 🦄)",61.6,765,34.6,274,"Han Solo"
"🤡 (not 👽)",61.5,407,29.1,262,"Han Solo"
"gregarious (not private)",61.4,451,30.7,941,"Han Solo"
"motivated (not unmotivated)",61.3,1621,27.7,81,"Han Solo"
"🐘 (not 🐀)",60.9,576,30.9,376,"Han Solo"
"salacious (not wholesome)",60.5,591,29.6,284,"Han Solo"
"everyman (not chosen one)",60.5,530,30.1,86,"Han Solo"
"artistic (not scientific)",60.3,688,27.4,999,"Han Solo"
"unprepared (not hoarder)",60.3,358,28.8,877,"Han Solo"
"hypocritical (not equitable)",60.1,589,26.9,282,"Han Solo"
"pack rat (not minimalist)",60.1,488,29.7,247,"Han Solo"
"off-key (not musical)",60.1,693,29.3,135,"Han Solo"
"orange (not purple)",60,560,30.6,810,"Han Solo"
"mysterious (not unambiguous)",60,620,31.1,1148,"Han Solo"
"vengeful (not forgiving)",59.9,756,25.7,985,"Han Solo"
"sturdy (not flimsy)",59.9,1116,29,112,"Han Solo"
"forward-thinking (not stuck-in-the-past)",59.8,755,27.3,105,"Han Solo"
"wooden (not plastic)",59.8,1143,31.1,110,"Han Solo"
"coordinated (not clumsy)",59.7,1109,29.3,972,"Han Solo"
"shallow (not deep)",59.7,400,25.9,375,"Han Solo"
"💝 (not 💔)",59.5,742,33.3,419,"Han Solo"
"rough (not smooth)",59.4,668,30.3,998,"Han Solo"
"🥳 (not 🥴)",59.4,469,33.8,253,"Han Solo"
"🙋‍♂️ (not 🙅‍♂️)",59.4,811,35.1,261,"Han Solo"
"fresh (not stinky)",59.4,1160,31.4,414,"Han Solo"
"bitter (not sweet)",59.3,721,24.9,994,"Han Solo"
"devoted (not unfaithful)",59,1521,30.2,91,"Han Solo"
"technophile (not luddite)",58.9,602,28.4,857,"Han Solo"
"empirical (not theoretical)",58.7,667,33.5,995,"Han Solo"
"city-slicker (not country-bumpkin)",58.7,1163,34,287,"Han Solo"
"main character (not side character)",58.4,805,34.1,66,"Han Solo"
"indiscreet (not tactful)",58.1,407,31,278,"Han Solo"
"legit (not scrub)",58.1,1351,31.1,381,"Han Solo"
"demonic (not angelic)",58,632,20.9,983,"Han Solo"
"emotional (not unemotional)",58,1243,28.2,74,"Han Solo"
"reactive (not proactive)",58,725,34,83,"Han Solo"
"alert (not oblivious)",57.8,1139,28.8,278,"Han Solo"
"lavish (not frugal)",57.7,664,29.4,958,"Han Solo"
"urban (not rural)",57.7,1198,32.3,426,"Han Solo"
"pessimistic (not optimistic)",57.6,765,31.6,974,"Han Solo"
"queen (not princess)",57.6,1045,37.8,71,"Han Solo"
"paranoid (not naive)",57.6,960,27.8,80,"Han Solo"
"moist (not dry)",57.5,661,31.5,116,"Han Solo"
"dramatic (not no-nonsense)",57.3,859,33.3,395,"Han Solo"
"subjective (not objective)",56.9,661,31.8,219,"Han Solo"
"distant (not touchy-feely)",56.9,912,30.5,76,"Han Solo"
"lazy (not diligent)",56.7,184,24.6,992,"Han Solo"
"resolute (not wavering)",56.7,1289,29.9,253,"Han Solo"
"down2earth (not head@clouds)",56.6,906,32.9,959,"Han Solo"
"Roman (not Greek)",56.6,666,31.1,111,"Han Solo"
"secretive (not open-book)",56.6,1135,32.5,153,"Han Solo"
"realistic (not fantastical)",56.6,988,35,135,"Han Solo"
"democratic (not authoritarian)",56.5,939,33.3,844,"Han Solo"
"arcane (not mainstream)",56.4,922,31.3,918,"Han Solo"
"warm (not cold)",56.3,947,26.3,923,"Han Solo"
"🏋️‍♂️ (not 🚴)",56.1,454,32.7,259,"Han Solo"
"high-tech (not low-tech)",56,819,28.7,996,"Han Solo"
"oppressed (not privileged)",55.9,545,27.9,133,"Han Solo"
"vintage (not trendy)",55.9,1291,30.9,115,"Han Solo"
"lighthearted (not intense)",55.8,488,31.7,122,"Han Solo"
"curious (not apathetic)",55.7,1348,30.2,964,"Han Solo"
"interested (not bored)",55.6,1391,31.5,105,"Han Solo"
"weird (not normal)",55.4,1066,25.3,1050,"Han Solo"
"complicated (not simple)",55.4,1258,31.4,840,"Han Solo"
"sunny (not gloomy)",55.4,737,27.9,147,"Han Solo"
"poisonous (not nurturing)",55.1,645,24,362,"Han Solo"
"cosmopolitan (not provincial)",55,888,32.2,902,"Han Solo"
"lost (not enlightened)",55,907,26.2,116,"Han Solo"
"overachiever (not underachiever)",55,1504,31.2,121,"Han Solo"
"reassuring (not fearmongering)",55,1060,31,99,"Han Solo"
"deranged (not reasonable)",54.8,699,27.2,264,"Han Solo"
"overspender (not penny-pincher)",54.6,728,34.8,419,"Han Solo"
"ignorant (not knowledgeable)",54.5,426,27.4,133,"Han Solo"
"specialist (not generalist)",54.4,1150,31.4,196,"Han Solo"
"pensive (not serene)",54.4,1554,27.8,83,"Han Solo"
"two-faced (not one-faced)",54.4,599,33.8,152,"Han Solo"
"high standards (not desperate)",54.3,1140,30.4,162,"Han Solo"
"fighter (not lover)",54.2,893,25.2,114,"Han Solo"
"🦇 (not 🐿)",54.1,717,32,244,"Han Solo"
"involved (not remote)",53.9,1467,29.5,1015,"Han Solo"
"flourishing (not traumatized)",53.9,496,29.2,122,"Han Solo"
"picky (not always down)",53.9,1045,33.2,73,"Han Solo"
"'right-brained' (not 'left-brained')",53.8,503,29.9,679,"Han Solo"
"gossiping (not confidential)",53.6,569,30.6,1169,"Han Solo"
"practical (not imaginative)",53.5,1185,33.6,937,"Han Solo"
"genius (not dunce)",53.4,1361,22.2,1075,"Han Solo"
"🎃 (not 💀)",53.4,846,34.7,100,"Han Solo"
"thick (not thin)",53,669,24.1,694,"Han Solo"
"cheesy (not chic)",52.8,978,31.4,92,"Han Solo"
"abstract (not concrete)",52.6,738,33.1,312,"Han Solo"
"goth (not flower child)",52.6,684,25.5,79,"Han Solo"
"close-minded (not open-minded)",52.5,687,28.8,1077,"Han Solo"
"unpatriotic (not patriotic)",52.4,439,32.9,289,"Han Solo"
"haunted (not blissful)",52.3,1343,28.1,114,"Han Solo"
"long-winded (not concise)",52.3,841,31.5,76,"Han Solo"
"glad (not mad)",52.2,801,27.9,315,"Han Solo"
"loveable (not punchable)",52.2,1273,26.6,123,"Han Solo"
"pain-avoidant (not masochistic)",51.8,922,30.6,143,"Han Solo"
"earth (not air)",51.7,1324,33.2,126,"Han Solo"
"literary (not mathematical)",51.6,1225,28.9,868,"Han Solo"
"fixable (not unfixable)",51.6,1241,32.3,140,"Han Solo"
"🤫 (not 🤔)",51.2,678,34.7,300,"Han Solo"
"French (not Russian)",51.2,1260,31.5,120,"Han Solo"
"🐮 (not 🐷)",51.1,1309,30.4,366,"Han Solo"
"psychopath (not empath)",50.7,721,25.3,125,"Han Solo"
"thrifty (not extravagant)",50.7,1043,34,117,"Han Solo"
"authoritarian (not democratic)",95.9,3,12,1051,"Darth Vader"
"serious (not playful)",94.6,10,11.5,1063,"Darth Vader"
"strict (not lenient)",94.4,16,9.2,1042,"Darth Vader"
"ferocious (not pacifist)",94.4,20,10.6,1053,"Darth Vader"
"bossy (not meek)",93.7,40,12.7,1070,"Darth Vader"
"angry (not good-humored)",93.3,7,12.2,905,"Darth Vader"
"masculine (not feminine)",92.9,75,10.8,1036,"Darth Vader"
"gloomy (not sunny)",92.8,11,11.4,133,"Darth Vader"
"guarded (not open)",92.6,27,11.7,1063,"Darth Vader"
"bitter (not sweet)",92.5,25,11.9,1028,"Darth Vader"
"driven (not unambitious)",92.5,97,14.1,904,"Darth Vader"
"extreme (not moderate)",92.3,42,13.2,955,"Darth Vader"
"intense (not lighthearted)",92.1,56,12.1,146,"Darth Vader"
"miserable (not joyful)",91.6,9,13.7,307,"Darth Vader"
"sad (not happy)",91.4,9,11.9,1060,"Darth Vader"
"sorrowful (not cheery)",91.3,13,11.7,961,"Darth Vader"
"vengeful (not forgiving)",91.3,72,14.6,987,"Darth Vader"
"quarrelsome (not warm)",91.2,50,13.2,1020,"Darth Vader"
"competitive (not cooperative)",91.1,116,14.8,1033,"Darth Vader"
"cold (not warm)",91.1,35,15.1,914,"Darth Vader"
"assertive (not passive)",91,55,16.7,906,"Darth Vader"
"important (not irrelevant)",91,117,14.2,443,"Darth Vader"
"haunted (not blissful)",91,24,12.6,147,"Darth Vader"
"diligent (not lazy)",90.8,249,12.4,1029,"Darth Vader"
"goth (not flower child)",90.7,20,17.4,100,"Darth Vader"
"demanding (not unchallenging)",90.5,102,19,149,"Darth Vader"
"dominant (not submissive)",90.4,126,18.8,1066,"Darth Vader"
"genocidal (not not genocidal)",90.3,23,16.2,86,"Darth Vader"
"fearmongering (not reassuring)",90.2,22,17.8,93,"Darth Vader"
"cruel (not kind)",90,50,12.5,984,"Darth Vader"
"stubborn (not accommodating)",90,112,17.4,141,"Darth Vader"
"dramatic (not comedic)",89.8,26,16.1,119,"Darth Vader"
"bold (not shy)",89.7,283,15.8,1035,"Darth Vader"
"tense (not relaxed)",89.7,90,16.3,993,"Darth Vader"
"hard (not soft)",89.5,56,16,1008,"Darth Vader"
"fire (not water)",89.4,78,15.6,136,"Darth Vader"
"judgemental (not accepting)",89.2,93,16.3,706,"Darth Vader"
"bad boy (not white knight)",89.1,40,15.7,75,"Darth Vader"
"mad (not glad)",89,41,15.7,277,"Darth Vader"
"hunter (not gatherer)",89,77,18.6,142,"Darth Vader"
"rigid (not flexible)",88.7,41,15.3,1001,"Darth Vader"
"mighty (not puny)",88.6,77,17.6,1009,"Darth Vader"
"traumatized (not flourishing)",88.5,45,20.4,131,"Darth Vader"
"arrogant (not humble)",88.3,156,15.9,1131,"Darth Vader"
"direct (not roundabout)",88.3,90,17.4,998,"Darth Vader"
"🦇 (not 🐿)",88.1,27,15.2,297,"Darth Vader"
"monochrome (not multicolored)",88.1,18,19.7,185,"Darth Vader"
"winter (not summer)",88.1,30,17.2,93,"Darth Vader"
"hard (not soft)",87.8,75,18.7,214,"Darth Vader"
"workaholic (not slacker)",87.8,256,19,221,"Darth Vader"
"opinionated (not neutral)",87.8,244,16.8,144,"Darth Vader"
"suspicious (not trusting)",87.6,107,18.2,1075,"Darth Vader"
"tight (not loose)",87.6,56,16.5,135,"Darth Vader"
"entitled (not grateful)",87.5,130,16.4,100,"Darth Vader"
"frank (not sugarcoated)",87.5,129,19,74,"Darth Vader"
"humorless (not funny)",87.3,25,19.6,984,"Darth Vader"
"🤺 (not 🏌)",87.1,124,19.9,306,"Darth Vader"
"demonic (not angelic)",87,75,14.1,1033,"Darth Vader"
"reserved (not chatty)",86.7,87,17.4,1019,"Darth Vader"
"celebrity (not boy/girl-next-door)",86.7,66,21.5,93,"Darth Vader"
"coordinated (not clumsy)",86.6,228,17.6,1002,"Darth Vader"
"high-tech (not low-tech)",86.5,105,17.9,973,"Darth Vader"
"deviant (not average)",86.5,65,16.2,722,"Darth Vader"
"secretive (not open-book)",86.5,158,18.9,141,"Darth Vader"
"decisive (not hesitant)",86,155,19.8,963,"Darth Vader"
"confidential (not gossiping)",85.7,182,20.4,1071,"Darth Vader"
"persistent (not quitter)",85.7,673,21.4,273,"Darth Vader"
"💀 (not 🎃)",85.7,64,24.2,106,"Darth Vader"
"motivated (not unmotivated)",85.7,570,20.5,80,"Darth Vader"
"reclusive (not social)",85.6,72,18.2,457,"Darth Vader"
"distant (not touchy-feely)",85.5,94,23.4,91,"Darth Vader"
